match_id,date,team_a,team_b,venue,city
M_2026_T01,2026-05-21,Chennai Super Kings,Gujarat Titans,MA Chidambaram Stadium,Chennai
M_2026_T02,2026-05-22,Sunrisers Hyderabad,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,Hyderabad
M_2026_T03,2026-05-23,Lucknow Super Giants,Punjab Kings,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
M_2026_T04,2026-05-24,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai
M_2026_T05,2026-05-24,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata
